ClassificationMethod,EmbeddingMethod,Predictors,Time,FilterStopwords,ConvertLower,FilterNumbers,FilterMinAppear,Accuracy,Precision,Recall,Specificity
LogisticRegression,BagOfWords,4896,42630.912,Yes,No,No,5,0.5566,0.5596,0.5455,0.5678
LDA,BagOfWords,4896,2997.9258,Yes,No,No,5,0.5655,0.5704,0.5432,0.5881
QDA,BagOfWords,4896,NA,Yes,No,No,5,NA,NA,NA,NA
MDA,BagOfWords,4896,NA,Yes,No,No,5,NA,NA,NA,NA
FDA,BagOfWords,4896,NA,Yes,No,No,5,NA,NA,NA,NA
Tree,BagOfWords,4896,NA,Yes,No,No,5,NA,NA,NA,NA
RF,BagOfWords,4896,NA,Yes,No,No,5,NA,NA,NA,NA
LogisticRegression,BagOfWords,1031,470.25672,Yes,No,No,30,0.61,0.5969,0.6182,0.6022
LDA,BagOfWords,1031,146.1138,Yes,No,No,30,0.6126,0.5991,0.6229,0.6027
QDA,BagOfWords,1031,NA,Yes,No,No,30,NA,NA,NA,NA
MDA,BagOfWords,1031,NA,Yes,No,No,30,NA,NA,NA,NA
FDA,BagOfWords,1031,NA,Yes,No,No,30,NA,NA,NA,NA
Tree,BagOfWords,1031,NA,Yes,No,No,30,NA,NA,NA,NA
RF,BagOfWords,1031,NA,Yes,No,No,30,NA,NA,NA,NA
LogisticRegression,BagOfWords,487,196.87158,Yes,No,No,60,0.608,0.6085,0.6106,0.6053
LDA,BagOfWords,487,51.596,Yes,No,No,60,0.6106,0.6113,0.6124,0.6088
QDA,BagOfWords,487,NA,Yes,No,No,60,NA,NA,NA,NA
MDA,BagOfWords,487,NA,Yes,No,No,60,NA,NA,NA,NA
FDA,BagOfWords,487,NA,Yes,No,No,60,NA,NA,NA,NA
Tree,BagOfWords,487,NA,Yes,No,No,60,NA,NA,NA,NA
RF,BagOfWords,487,NA,Yes,No,No,60,NA,NA,NA,NA
LogisticRegression,BagOfWords,14925,320121.2448,No,Yes,Yes,0,0.5026,0.5043,0.504,0.5012
LDA,BagOfWords,14925,NA,No,Yes,Yes,0,NA,NA,NA,NA
QDA,BagOfWords,14925,NA,No,Yes,Yes,0,NA,NA,NA,NA
MDA,BagOfWords,14925,NA,No,Yes,Yes,0,NA,NA,NA,NA
FDA,BagOfWords,14925,NA,No,Yes,Yes,0,NA,NA,NA,NA
Tree,BagOfWords,14925,NA,No,Yes,Yes,0,NA,NA,NA,NA
RF,BagOfWords,14925,NA,No,Yes,Yes,0,NA,NA,NA,NA
LogisticRegression,BagOfWords,4816,31861.332,No,Yes,Yes,5,0.5661,0.5701,0.5495,0.5829
LDA,BagOfWords,4816,2445.081,No,Yes,Yes,5,0.5765,0.5822,0.5524,0.6008
QDA,BagOfWords,4816,NA,No,Yes,Yes,5,NA,NA,NA,NA
MDA,BagOfWords,4816,NA,No,Yes,Yes,5,NA,NA,NA,NA
FDA,BagOfWords,4816,NA,No,Yes,Yes,5,NA,NA,NA,NA
Tree,BagOfWords,4816,NA,No,Yes,Yes,5,NA,NA,NA,NA
RF,BagOfWords,4816,NA,No,Yes,Yes,5,NA,NA,NA,NA
LogisticRegression,BagOfWords,1234,975.84,No,Yes,Yes,30,0.61,0.5997,0.6274,0.5931
LDA,BagOfWords,1234,276.49662,No,Yes,Yes,30,0.6169,0.6065,0.6339,0.6005
QDA,BagOfWords,1234,NA,No,Yes,Yes,30,NA,NA,NA,NA
MDA,BagOfWords,1234,NA,No,Yes,Yes,30,NA,NA,NA,NA
FDA,BagOfWords,1234,NA,No,Yes,Yes,30,NA,NA,NA,NA
Tree,BagOfWords,1234,NA,No,Yes,Yes,30,NA,NA,NA,NA
RF,BagOfWords,1234,NA,No,Yes,Yes,30,NA,NA,NA,NA
LogisticRegression,BagOfWords,669,179.55942,No,Yes,Yes,60,0.6264,0.6318,0.6267,0.6262
LDA,BagOfWords,669,85.60524,No,Yes,Yes,60,0.6247,0.63,0.625,0.6244
QDA,BagOfWords,669,53.86862,No,Yes,Yes,60,0.6169,0.6166,0.6416,0.5917
MDA,BagOfWords,669,804.6168,No,Yes,Yes,60,0.6192,0.6231,0.6256,0.6127
FDA,BagOfWords,669,NA,No,Yes,Yes,60,NA,NA,NA,NA
Tree,BagOfWords,669,NA,No,Yes,Yes,60,NA,NA,NA,NA
RF,BagOfWords,669,NA,No,Yes,Yes,60,NA,NA,NA,NA
LogisticRegression,BagOfWords,15711,415110.4416,No,Yes,No,0,0.4908,0.4926,0.5,0.4815
LDA,BagOfWords,15711,NA,No,Yes,No,0,NA,NA,NA,NA
QDA,BagOfWords,15711,NA,No,Yes,No,0,NA,NA,NA,NA
MDA,BagOfWords,15711,NA,No,Yes,No,0,NA,NA,NA,NA
FDA,BagOfWords,15711,NA,No,Yes,No,0,NA,NA,NA,NA
Tree,BagOfWords,15711,NA,No,Yes,No,0,NA,NA,NA,NA
RF,BagOfWords,15711,NA,No,Yes,No,0,NA,NA,NA,NA
LogisticRegression,BagOfWords,5028,50007.276,No,Yes,No,5,0.5676,0.5712,0.5541,0.5811
LDA,BagOfWords,5028,4545.0972,No,Yes,No,5,0.5765,0.5806,0.5616,0.5915
QDA,BagOfWords,5028,NA,No,Yes,No,5,NA,NA,NA,NA
MDA,BagOfWords,5028,NA,No,Yes,No,5,NA,NA,NA,NA
FDA,BagOfWords,5028,NA,No,Yes,No,5,NA,NA,NA,NA
Tree,BagOfWords,5028,NA,No,Yes,No,5,NA,NA,NA,NA
RF,BagOfWords,5028,NA,No,Yes,No,5,NA,NA,NA,NA
LogisticRegression,BagOfWords,1303,1079.4528,No,Yes,No,30,0.6126,0.6024,0.6292,0.5965
LDA,BagOfWords,1303,320.1129,No,Yes,No,30,0.612,0.6018,0.6286,0.5959
QDA,BagOfWords,1303,NA,No,Yes,No,30,NA,NA,NA,NA
MDA,BagOfWords,1303,NA,No,Yes,No,30,NA,NA,NA,NA
FDA,BagOfWords,1303,NA,No,Yes,No,30,NA,NA,NA,NA
Tree,BagOfWords,1303,NA,No,Yes,No,30,NA,NA,NA,NA
RF,BagOfWords,1303,NA,No,Yes,No,30,NA,NA,NA,NA
LogisticRegression,BagOfWords,710,196.84716,No,Yes,No,60,0.6236,0.6315,0.6149,0.6324
LDA,BagOfWords,710,83.17404,No,Yes,No,60,0.6181,0.6234,0.6195,0.6166
QDA,BagOfWords,710,48.73818,No,Yes,No,60,0.6094,0.6126,0.6207,0.5979
MDA,BagOfWords,710,878.3958,No,Yes,No,60,0.6039,0.6064,0.6195,0.588
FDA,BagOfWords,710,NA,No,Yes,No,60,NA,NA,NA,NA
Tree,BagOfWords,710,NA,No,Yes,No,60,NA,NA,NA,NA
RF,BagOfWords,710,NA,No,Yes,No,60,NA,NA,NA,NA
LogisticRegression,BagOfWords,17440,NA,No,No,Yes,0,NA,NA,NA,NA
LDA,BagOfWords,17440,NA,No,No,Yes,0,NA,NA,NA,NA
QDA,BagOfWords,17440,NA,No,No,Yes,0,NA,NA,NA,NA
MDA,BagOfWords,17440,NA,No,No,Yes,0,NA,NA,NA,NA
FDA,BagOfWords,17440,NA,No,No,Yes,0,NA,NA,NA,NA
Tree,BagOfWords,17440,NA,No,No,Yes,0,NA,NA,NA,NA
RF,BagOfWords,17440,NA,No,No,Yes,0,NA,NA,NA,NA
LogisticRegression,BagOfWords,5170,70676.784,No,No,Yes,5,0.5857,0.5927,0.5903,0.581
LDA,BagOfWords,5170,3452.9574,No,No,Yes,5,0.582,0.5925,0.5676,0.5968
QDA,BagOfWords,5170,NA,No,No,Yes,5,NA,NA,NA,NA
MDA,BagOfWords,5170,NA,No,No,Yes,5,NA,NA,NA,NA
FDA,BagOfWords,5170,NA,No,No,Yes,5,NA,NA,NA,NA
Tree,BagOfWords,5170,NA,No,No,Yes,5,NA,NA,NA,NA
RF,BagOfWords,5170,NA,No,No,Yes,5,NA,NA,NA,NA
LogisticRegression,BagOfWords,1281,861.225,No,No,Yes,30,0.6131,0.6219,0.6163,0.6097
LDA,BagOfWords,1281,178.78368,No,No,Yes,30,0.6119,0.62,0.6186,0.605
QDA,BagOfWords,1281,NA,No,No,Yes,30,NA,NA,NA,NA
MDA,BagOfWords,1281,NA,No,No,Yes,30,NA,NA,NA,NA
FDA,BagOfWords,1281,NA,No,No,Yes,30,NA,NA,NA,NA
Tree,BagOfWords,1281,NA,No,No,Yes,30,NA,NA,NA,NA
RF,BagOfWords,1281,NA,No,No,Yes,30,NA,NA,NA,NA
LogisticRegression,BagOfWords,689,474.8166,No,No,Yes,60,0.6158,0.6086,0.6292,0.6027
LDA,BagOfWords,689,127.51302,No,No,Yes,60,0.615,0.6067,0.6332,0.597
QDA,BagOfWords,689,NA,No,No,Yes,60,NA,NA,NA,NA
MDA,BagOfWords,689,NA,No,No,Yes,60,NA,NA,NA,NA
FDA,BagOfWords,689,NA,No,No,Yes,60,NA,NA,NA,NA
Tree,BagOfWords,689,NA,No,No,Yes,60,NA,NA,NA,NA
RF,BagOfWords,689,NA,No,No,Yes,60,NA,NA,NA,NA
LogisticRegression,BagOfWords,18223,NA,No,No,No,0,NA,NA,NA,NA
LDA,BagOfWords,18223,NA,No,No,No,0,NA,NA,NA,NA
QDA,BagOfWords,18223,NA,No,No,No,0,NA,NA,NA,NA
MDA,BagOfWords,18223,NA,No,No,No,0,NA,NA,NA,NA
FDA,BagOfWords,18223,NA,No,No,No,0,NA,NA,NA,NA
Tree,BagOfWords,18223,NA,No,No,No,0,NA,NA,NA,NA
RF,BagOfWords,18223,NA,No,No,No,0,NA,NA,NA,NA
LogisticRegression,BagOfWords,5379,42085.008,No,No,No,5,0.5598,0.5634,0.5449,0.5747
LDA,BagOfWords,5379,2486.37,No,No,No,5,0.5713,0.5749,0.5587,0.584
QDA,BagOfWords,5379,NA,No,No,No,5,NA,NA,NA,NA
MDA,BagOfWords,5379,NA,No,No,No,5,NA,NA,NA,NA
FDA,BagOfWords,5379,NA,No,No,No,5,NA,NA,NA,NA
Tree,BagOfWords,5379,NA,No,No,No,5,NA,NA,NA,NA
RF,BagOfWords,5379,NA,No,No,No,5,NA,NA,NA,NA
LogisticRegression,BagOfWords,1351,1169.6556,No,No,No,30,0.6204,0.6256,0.6231,0.6175
LDA,BagOfWords,1351,199.9839,No,No,No,30,0.6189,0.624,0.6226,0.6152
QDA,BagOfWords,1351,NA,No,No,No,30,NA,NA,NA,NA
MDA,BagOfWords,1351,NA,No,No,No,30,NA,NA,NA,NA
FDA,BagOfWords,1351,NA,No,No,No,30,NA,NA,NA,NA
Tree,BagOfWords,1351,NA,No,No,No,30,NA,NA,NA,NA
RF,BagOfWords,1351,NA,No,No,No,30,NA,NA,NA,NA
LogisticRegression,BagOfWords,731,145.19142,No,No,No,60,0.6233,0.6121,0.6408,0.6064
LDA,BagOfWords,731,65.48568,No,No,No,60,0.6228,0.6117,0.6397,0.6064
QDA,BagOfWords,731,NA,No,No,No,60,NA,NA,NA,NA
MDA,BagOfWords,731,NA,No,No,No,60,NA,NA,NA,NA
FDA,BagOfWords,731,NA,No,No,No,60,NA,NA,NA,NA
Tree,BagOfWords,731,NA,No,No,No,60,NA,NA,NA,NA
RF,BagOfWords,731,NA,No,No,No,60,NA,NA,NA,NA
LogisticRegression,BERT,768,173.71206,Yes,Yes,Yes,0,0.6166,0.6132,0.6061,0.6269
LDA,BERT,768,91.05252,Yes,Yes,Yes,0,0.6178,0.6152,0.6037,0.6315
QDA,BERT,768,50.8394,Yes,Yes,Yes,0,0.6109,0.6121,0.5792,0.6418
MDA,BERT,768,952.0986,Yes,Yes,Yes,0,0.6094,0.6059,0.5985,0.6201
FDA,BERT,768,337.67754,Yes,Yes,Yes,0,0.582,0.5795,0.5605,0.603
Tree,BERT,768,76.1937,Yes,Yes,Yes,0,0.5471,0.5378,0.5909,0.5043
RF,BERT,768,115825.9392,Yes,Yes,Yes,0,0.6071,0.6048,0.5903,0.6235
LogisticRegression,BERT,768,150.6189,Yes,Yes,Yes,5,0.6093,0.609,0.5845,0.6336
LDA,BERT,768,90.19608,Yes,Yes,Yes,5,0.6116,0.6117,0.5856,0.637
QDA,BERT,768,42.85613,Yes,Yes,Yes,5,0.6223,0.6279,0.578,0.6655
MDA,BERT,768,808.5378,Yes,Yes,Yes,5,0.6151,0.616,0.5868,0.6427
FDA,BERT,768,290.61384,Yes,Yes,Yes,5,0.5897,0.5858,0.5786,0.6005
Tree,BERT,768,76.44108,Yes,Yes,Yes,5,0.5677,0.5558,0.623,0.5137
RF,BERT,768,112387.2192,Yes,Yes,Yes,5,0.6107,0.6072,0.6008,0.6204
LogisticRegression,BERT,768,176.24748,Yes,Yes,Yes,30,0.5963,0.5938,0.5737,0.6183
LDA,BERT,768,91.50216,Yes,Yes,Yes,30,0.5995,0.5969,0.5779,0.6206
QDA,BERT,768,50.93815,Yes,Yes,Yes,30,0.6133,0.6228,0.5465,0.6782
MDA,BERT,768,844.143,Yes,Yes,Yes,30,0.5905,0.5865,0.5743,0.6062
FDA,BERT,768,329.6016,Yes,Yes,Yes,30,0.5937,0.5913,0.5696,0.6172
Tree,BERT,768,77.63232,Yes,Yes,Yes,30,0.5692,0.5687,0.5222,0.6149
RF,BERT,768,115732.2816,Yes,Yes,Yes,30,0.6045,0.6037,0.5755,0.6327
LogisticRegression,BERT,768,166.58898,Yes,Yes,Yes,60,0.5768,0.569,0.5492,0.603
LDA,BERT,768,84.18276,Yes,Yes,Yes,60,0.5783,0.5704,0.5523,0.603
QDA,BERT,768,45.95593,Yes,Yes,Yes,60,0.6016,0.6079,0.5187,0.6807
MDA,BERT,768,777.1416,Yes,Yes,Yes,60,0.5827,0.5741,0.5639,0.6007
FDA,BERT,768,270.86922,Yes,Yes,Yes,60,0.5687,0.5592,0.5517,0.5849
Tree,BERT,768,71.99358,Yes,Yes,Yes,60,0.5532,0.5532,0.4422,0.6591
RF,BERT,768,106968.2976,Yes,Yes,Yes,60,0.595,0.5951,0.5339,0.6532
LogisticRegression,BERT,768,174.63426,Yes,Yes,No,0,0.6181,0.6156,0.6037,0.6321
LDA,BERT,768,91.04724,Yes,Yes,No,0,0.6192,0.6176,0.6014,0.6366
QDA,BERT,768,50.70541,Yes,Yes,No,0,0.6236,0.6266,0.5885,0.6577
MDA,BERT,768,941.2914,Yes,Yes,No,0,0.6189,0.6163,0.6055,0.6321
FDA,BERT,768,327.5319,Yes,Yes,No,0,0.5892,0.5865,0.5704,0.6075
Tree,BERT,768,77.09604,Yes,Yes,No,0,0.5655,0.5634,0.5348,0.5956
RF,BERT,768,109262.4768,Yes,Yes,No,0,0.6111,0.6076,0.6008,0.6212
LogisticRegression,BERT,768,179.94558,Yes,Yes,No,5,0.5998,0.5981,0.5792,0.6199
LDA,BERT,768,93.58932,Yes,Yes,No,5,0.6003,0.5998,0.5745,0.6256
QDA,BERT,768,51.51057,Yes,Yes,No,5,0.6133,0.6185,0.5675,0.6581
MDA,BERT,768,906.5052,Yes,Yes,No,5,0.6084,0.607,0.5885,0.6279
FDA,BERT,768,325.15356,Yes,Yes,No,5,0.5813,0.5777,0.5669,0.5953
Tree,BERT,768,76.64496,Yes,Yes,No,5,0.5501,0.5423,0.5728,0.528
RF,BERT,768,116607.3408,Yes,Yes,No,5,0.6122,0.6075,0.6078,0.6164
LogisticRegression,BERT,768,163.6269,Yes,Yes,No,30,0.5976,0.5945,0.5794,0.6153
LDA,BERT,768,89.9532,Yes,Yes,No,30,0.5994,0.5962,0.5818,0.6164
QDA,BERT,768,49.72691,Yes,Yes,No,30,0.6174,0.6257,0.5588,0.6745
MDA,BERT,768,766.56,Yes,Yes,No,30,0.5804,0.576,0.5665,0.594
FDA,BERT,768,287.09022,Yes,Yes,No,30,0.5897,0.5867,0.5694,0.6095
Tree,BERT,768,72.4974,Yes,Yes,No,30,0.5752,0.5796,0.5056,0.6429
RF,BERT,768,107204.9472,Yes,Yes,No,30,0.5985,0.597,0.5724,0.6239
LogisticRegression,BERT,768,164.8161,Yes,Yes,No,60,0.5967,0.5906,0.5705,0.6217
LDA,BERT,768,87.59262,Yes,Yes,No,60,0.5967,0.5907,0.5699,0.6223
QDA,BERT,768,48.30977,Yes,Yes,No,60,0.6026,0.6132,0.5067,0.6944
MDA,BERT,768,788.2356,Yes,Yes,No,60,0.5854,0.579,0.5565,0.613
FDA,BERT,768,305.98542,Yes,Yes,No,60,0.5845,0.5799,0.5443,0.6229
Tree,BERT,768,74.0016,Yes,Yes,No,60,0.5524,0.5433,0.5298,0.5741
RF,BERT,768,113985.8784,Yes,Yes,No,60,0.5964,0.5953,0.5443,0.6461
LogisticRegression,BERT,768,173.22804,Yes,No,Yes,0,0.6057,0.6002,0.6037,0.6075
LDA,BERT,768,92.0274,Yes,No,Yes,0,0.6048,0.5991,0.6043,0.6052
QDA,BERT,768,51.72458,Yes,No,Yes,0,0.6025,0.598,0.5956,0.6092
MDA,BERT,768,871.788,Yes,No,Yes,0,0.5987,0.5927,0.5996,0.5978
FDA,BERT,768,311.06742,Yes,No,Yes,0,0.5906,0.5866,0.5798,0.6013
Tree,BERT,768,78.98286,Yes,No,Yes,0,0.5629,0.575,0.4413,0.6817
RF,BERT,768,116515.6704,Yes,No,Yes,0,0.6057,0.6021,0.5944,0.6167
LogisticRegression,BERT,768,167.70786,Yes,No,Yes,5,0.6065,0.6034,0.5932,0.6195
LDA,BERT,768,87.7971,Yes,No,Yes,5,0.6085,0.6052,0.5967,0.6201
QDA,BERT,768,49.36722,Yes,No,Yes,5,0.6123,0.6189,0.5599,0.6634
MDA,BERT,768,843.1332,Yes,No,Yes,5,0.5982,0.5967,0.5751,0.6207
FDA,BERT,768,292.47366,Yes,No,Yes,5,0.5898,0.5892,0.5599,0.6189
Tree,BERT,768,76.40892,Yes,No,Yes,5,0.5511,0.5684,0.3787,0.7193
RF,BERT,768,114271.776,Yes,No,Yes,5,0.6126,0.6133,0.5839,0.6406
LogisticRegression,BERT,768,167.49552,Yes,No,Yes,30,0.595,0.5902,0.5867,0.6031
LDA,BERT,768,87.15918,Yes,No,Yes,30,0.5982,0.5934,0.5902,0.606
QDA,BERT,768,49.73504,Yes,No,Yes,30,0.6124,0.6247,0.5373,0.6856
MDA,BERT,768,813.0606,Yes,No,Yes,30,0.5999,0.5954,0.5908,0.6088
FDA,BERT,768,290.30604,Yes,No,Yes,30,0.5947,0.5957,0.5561,0.6323
Tree,BERT,768,76.5099,Yes,No,Yes,30,0.5741,0.5965,0.4233,0.7211
RF,BERT,768,114765.6384,Yes,No,Yes,30,0.6081,0.6066,0.5855,0.63
LogisticRegression,BERT,768,168.1878,Yes,No,Yes,60,0.6035,0.6013,0.5714,0.6344
LDA,BERT,768,89.21988,Yes,No,Yes,60,0.6026,0.6,0.572,0.6321
QDA,BERT,768,49.14695,Yes,No,Yes,60,0.6117,0.6219,0.5338,0.6869
MDA,BERT,768,795.4338,Yes,No,Yes,60,0.5876,0.5814,0.572,0.6027
FDA,BERT,768,287.41212,Yes,No,Yes,60,0.5864,0.5864,0.5356,0.6355
Tree,BERT,768,78.04704,Yes,No,Yes,60,0.5644,0.5545,0.5744,0.5548
RF,BERT,768,113635.0944,Yes,No,Yes,60,0.5908,0.5895,0.5493,0.6309
LogisticRegression,BERT,768,171.10248,Yes,No,No,0,0.6068,0.6034,0.595,0.6184
LDA,BERT,768,89.6316,Yes,No,No,0,0.6059,0.604,0.5874,0.6241
QDA,BERT,768,50.47876,Yes,No,No,0,0.6244,0.6235,0.6049,0.6435
MDA,BERT,768,858.0132,Yes,No,No,0,0.6083,0.6045,0.5985,0.6178
FDA,BERT,768,292.1478,Yes,No,No,0,0.5947,0.5934,0.5698,0.6189
Tree,BERT,768,76.55412,Yes,No,No,0,0.5739,0.5615,0.6271,0.522
RF,BERT,768,114228.0576,Yes,No,No,0,0.614,0.6114,0.5996,0.6281
LogisticRegression,BERT,768,171.20964,Yes,No,No,5,0.6005,0.5974,0.5862,0.6144
LDA,BERT,768,87.1302,Yes,No,No,5,0.6013,0.599,0.5833,0.6189
QDA,BERT,768,48.91992,Yes,No,No,5,0.6198,0.6276,0.5663,0.672
MDA,BERT,768,907.7172,Yes,No,No,5,0.5999,0.6001,0.5693,0.6298
FDA,BERT,768,328.55988,Yes,No,No,5,0.5904,0.5898,0.5605,0.6195
Tree,BERT,768,81.3375,Yes,No,No,5,0.5514,0.539,0.6341,0.4706
RF,BERT,768,123806.016,Yes,No,No,5,0.6025,0.6002,0.5845,0.6201
LogisticRegression,BERT,768,297.10056,Yes,No,No,30,0.6096,0.606,0.5964,0.6224
LDA,BERT,768,124.3989,Yes,No,No,30,0.613,0.6093,0.6011,0.6247
QDA,BERT,768,88.82004,Yes,No,No,30,0.6206,0.6358,0.5405,0.6985
MDA,BERT,768,1669.998,Yes,No,No,30,0.6029,0.6006,0.5823,0.623
FDA,BERT,768,501.08994,Yes,No,No,30,0.5942,0.5915,0.5734,0.6144
Tree,BERT,768,122.3853,Yes,No,No,30,0.5887,0.6037,0.4841,0.6905
RF,BERT,768,135550.0224,Yes,No,No,30,0.6188,0.6142,0.6116,0.6259
LogisticRegression,BERT,768,191.48256,Yes,No,No,60,0.5968,0.592,0.5765,0.6164
LDA,BERT,768,95.12106,Yes,No,No,60,0.596,0.5911,0.5759,0.6153
QDA,BERT,768,54.04157,Yes,No,No,60,0.6009,0.6121,0.5122,0.6866
MDA,BERT,768,881.8128,Yes,No,No,60,0.5907,0.5875,0.5599,0.6205
FDA,BERT,768,339.17118,Yes,No,No,60,0.5822,0.5794,0.5456,0.6176
Tree,BERT,768,81.9564,Yes,No,No,60,0.5617,0.5538,0.5545,0.5687
RF,BERT,768,112359.5712,Yes,No,No,60,0.6042,0.6033,0.567,0.64
LogisticRegression,BERT,768,198.711,No,Yes,Yes,0,0.627,0.6242,0.6154,0.6383
LDA,BERT,768,98.17566,No,Yes,Yes,0,0.629,0.6279,0.6113,0.6463
QDA,BERT,768,59.23725,No,Yes,Yes,0,0.6357,0.6368,0.6108,0.66
MDA,BERT,768,1018.8756,No,Yes,Yes,0,0.6276,0.6249,0.6154,0.6395
FDA,BERT,768,444.03942,No,Yes,Yes,0,0.614,0.6117,0.5985,0.6292
Tree,BERT,768,83.01702,No,Yes,Yes,0,0.573,0.5579,0.6528,0.4952
RF,BERT,768,124186.5216,No,Yes,Yes,0,0.6319,0.6262,0.6324,0.6315
LogisticRegression,BERT,768,175.42752,No,Yes,Yes,5,0.6233,0.6221,0.6043,0.6418
LDA,BERT,768,93.3573,No,Yes,Yes,5,0.6267,0.6256,0.6084,0.6446
QDA,BERT,768,51.48347,No,Yes,Yes,5,0.627,0.6312,0.5891,0.664
MDA,BERT,768,875.6376,No,Yes,Yes,5,0.6288,0.6252,0.6201,0.6372
FDA,BERT,768,311.24796,No,Yes,Yes,5,0.614,0.6142,0.588,0.6395
Tree,BERT,768,79.83702,No,Yes,Yes,5,0.5852,0.5706,0.647,0.5248
RF,BERT,768,116523.2736,No,Yes,Yes,5,0.6331,0.6279,0.6312,0.6349
LogisticRegression,BERT,768,172.60698,No,Yes,Yes,30,0.6212,0.6188,0.6072,0.6349
LDA,BERT,768,87.5277,No,Yes,Yes,30,0.6178,0.6146,0.6067,0.6286
QDA,BERT,768,49.24806,No,Yes,Yes,30,0.6204,0.6201,0.5973,0.6429
MDA,BERT,768,852.5466,No,Yes,Yes,30,0.5987,0.597,0.5774,0.6195
FDA,BERT,768,288.02838,No,Yes,Yes,30,0.5976,0.5941,0.585,0.6098
Tree,BERT,768,75.13776,No,Yes,Yes,30,0.5788,0.5727,0.5798,0.5779
RF,BERT,768,118278.2304,No,Yes,Yes,30,0.6267,0.6204,0.6295,0.6241
LogisticRegression,BERT,768,183.06264,No,Yes,Yes,60,0.6027,0.5987,0.5924,0.6127
LDA,BERT,768,91.28478,No,Yes,Yes,60,0.6038,0.5998,0.5942,0.6132
QDA,BERT,768,52.95575,No,Yes,Yes,60,0.6174,0.6134,0.6088,0.6258
MDA,BERT,768,861.7986,No,Yes,Yes,60,0.5969,0.5942,0.5789,0.6144
FDA,BERT,768,325.3977,No,Yes,Yes,60,0.6001,0.5941,0.6,0.6001
Tree,BERT,768,78.18048,No,Yes,Yes,60,0.5703,0.5577,0.6275,0.5145
RF,BERT,768,116305.2864,No,Yes,Yes,60,0.6243,0.613,0.6485,0.6007
LogisticRegression,BERT,768,182.78154,No,Yes,No,0,0.627,0.6252,0.6113,0.6423
LDA,BERT,768,95.76636,No,Yes,No,0,0.6276,0.6257,0.6125,0.6423
QDA,BERT,768,54.70634,No,Yes,No,0,0.6334,0.6377,0.5967,0.6691
MDA,BERT,768,1001.799,No,Yes,No,0,0.6305,0.6276,0.6195,0.6412
FDA,BERT,768,361.17336,No,Yes,No,0,0.6132,0.6111,0.5961,0.6298
Tree,BERT,768,82.90776,No,Yes,No,0,0.573,0.5807,0.488,0.656
RF,BERT,768,126595.9584,No,Yes,No,0,0.6279,0.6234,0.623,0.6326
LogisticRegression,BERT,768,173.55132,No,Yes,No,5,0.625,0.6223,0.6125,0.6372
LDA,BERT,768,92.35362,No,Yes,No,5,0.6267,0.6246,0.6125,0.6406
QDA,BERT,768,51.0073,No,Yes,No,5,0.6311,0.6344,0.5973,0.664
MDA,BERT,768,868.56,No,Yes,No,5,0.6302,0.6289,0.6131,0.6469
FDA,BERT,768,312.65712,No,Yes,No,5,0.6103,0.6061,0.6026,0.6178
Tree,BERT,768,79.35978,No,Yes,No,5,0.5733,0.5839,0.474,0.6703
RF,BERT,768,116350.8192,No,Yes,No,5,0.6247,0.6189,0.6254,0.6241
LogisticRegression,BERT,768,172.65378,No,Yes,No,30,0.6212,0.6192,0.6055,0.6366
LDA,BERT,768,91.119,No,Yes,No,30,0.6195,0.6182,0.6008,0.6378
QDA,BERT,768,51.21553,No,Yes,No,30,0.621,0.6218,0.5938,0.6475
MDA,BERT,768,834.873,No,Yes,No,30,0.6005,0.5994,0.5763,0.6241
FDA,BERT,768,314.12928,No,Yes,No,30,0.6036,0.6019,0.5833,0.6235
Tree,BERT,768,78.38556,No,Yes,No,30,0.5664,0.5658,0.5254,0.6064
RF,BERT,768,116955.1872,No,Yes,No,30,0.6172,0.6092,0.6277,0.607
LogisticRegression,BERT,768,173.01426,No,Yes,No,60,0.6042,0.6024,0.5845,0.6235
LDA,BERT,768,93.27852,No,Yes,No,60,0.6048,0.6029,0.5856,0.6235
QDA,BERT,768,51.34527,No,Yes,No,60,0.6184,0.6168,0.6002,0.6361
MDA,BERT,768,807.4584,No,Yes,No,60,0.5927,0.5918,0.5652,0.6195
FDA,BERT,768,309.13434,No,Yes,No,60,0.5967,0.5912,0.595,0.5984
Tree,BERT,768,80.38668,No,Yes,No,60,0.5699,0.5765,0.4868,0.6509
RF,BERT,768,117150.2784,No,Yes,No,60,0.6149,0.6056,0.6318,0.5984
LogisticRegression,BERT,768,183.6687,No,No,Yes,0,0.6137,0.6131,0.5909,0.6361
LDA,BERT,768,91.70214,No,No,Yes,0,0.6175,0.6175,0.5926,0.6418
QDA,BERT,768,51.63075,No,No,Yes,0,0.6339,0.6343,0.6113,0.656
MDA,BERT,768,992.9238,No,No,Yes,0,0.6212,0.6171,0.6143,0.6281
FDA,BERT,768,294.6957,No,No,Yes,0,0.6077,0.6064,0.5862,0.6286
Tree,BERT,768,76.8774,No,No,Yes,0,0.5508,0.5434,0.5675,0.5345
RF,BERT,768,116624.016,No,No,Yes,0,0.6212,0.6169,0.6154,0.6269
LogisticRegression,BERT,768,225.75822,No,No,Yes,5,0.6169,0.6174,0.5903,0.6429
LDA,BERT,768,108.77124,No,No,Yes,5,0.6201,0.6214,0.5909,0.6486
QDA,BERT,768,66.61752,No,No,Yes,5,0.6322,0.6411,0.5804,0.6828
MDA,BERT,768,1137.0396,No,No,Yes,5,0.6111,0.6096,0.5915,0.6303
