ClassificationMethod,EmbeddingMethod,Predictors,Time,FilterStopwords,ConvertLower,FilterNumbers,FilterMinAppear,Accuracy,Precision,Recall,Specificity
QDA,TF-IDF,1281,NA,No,No,Yes,30,NA,NA,NA,NA
MDA,TF-IDF,1281,NA,No,No,Yes,30,NA,NA,NA,NA
FDA,TF-IDF,1281,NA,No,No,Yes,30,NA,NA,NA,NA
Tree,TF-IDF,1281,NA,No,No,Yes,30,NA,NA,NA,NA
RF,TF-IDF,1281,NA,No,No,Yes,30,NA,NA,NA,NA
LogisticRegression,TF-IDF,689,381.50424,No,No,Yes,60,0.6101,0.6111,0.5854,0.6342
LDA,TF-IDF,689,89.45658,No,No,Yes,60,0.6135,0.6147,0.5889,0.6377
QDA,TF-IDF,689,NA,No,No,Yes,60,NA,NA,NA,NA
MDA,TF-IDF,689,NA,No,No,Yes,60,NA,NA,NA,NA
FDA,TF-IDF,689,NA,No,No,Yes,60,NA,NA,NA,NA
Tree,TF-IDF,689,NA,No,No,Yes,60,NA,NA,NA,NA
RF,TF-IDF,689,NA,No,No,Yes,60,NA,NA,NA,NA
LogisticRegression,TF-IDF,18223,NA,No,No,No,0,NA,NA,NA,NA
LDA,TF-IDF,18223,NA,No,No,No,0,NA,NA,NA,NA
QDA,TF-IDF,18223,NA,No,No,No,0,NA,NA,NA,NA
MDA,TF-IDF,18223,NA,No,No,No,0,NA,NA,NA,NA
FDA,TF-IDF,18223,NA,No,No,No,0,NA,NA,NA,NA
Tree,TF-IDF,18223,NA,No,No,No,0,NA,NA,NA,NA
RF,TF-IDF,18223,NA,No,No,No,0,NA,NA,NA,NA
LogisticRegression,TF-IDF,5379,98641.9296,No,No,No,5,0.5528,0.5558,0.542,0.5637
LDA,TF-IDF,5379,4355.208,No,No,No,5,0.5733,0.5805,0.5391,0.6078
QDA,TF-IDF,5379,NA,No,No,No,5,NA,NA,NA,NA
MDA,TF-IDF,5379,NA,No,No,No,5,NA,NA,NA,NA
FDA,TF-IDF,5379,NA,No,No,No,5,NA,NA,NA,NA
Tree,TF-IDF,5379,NA,No,No,No,5,NA,NA,NA,NA
RF,TF-IDF,5379,NA,No,No,No,5,NA,NA,NA,NA
LogisticRegression,TF-IDF,1351,1301.9856,No,No,No,30,0.6215,0.6365,0.5889,0.655
LDA,TF-IDF,1351,241.80588,No,No,No,30,0.6221,0.6368,0.5906,0.6544
QDA,TF-IDF,1351,NA,No,No,No,30,NA,NA,NA,NA
MDA,TF-IDF,1351,NA,No,No,No,30,NA,NA,NA,NA
FDA,TF-IDF,1351,NA,No,No,No,30,NA,NA,NA,NA
Tree,TF-IDF,1351,NA,No,No,No,30,NA,NA,NA,NA
RF,TF-IDF,1351,NA,No,No,No,30,NA,NA,NA,NA
LogisticRegression,TF-IDF,731,322.56582,No,No,No,60,0.6202,0.6172,0.6009,0.6388
LDA,TF-IDF,731,109.65954,No,No,No,60,0.6228,0.6196,0.605,0.6399
QDA,TF-IDF,731,NA,No,No,No,60,NA,NA,NA,NA
MDA,TF-IDF,731,NA,No,No,No,60,NA,NA,NA,NA
